Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
A Serbian Film,2010,females,4.8,774,452,747,946,887,821,599,380,365,1834,4.8,3.3,4.7,4.9,4.9,7805,6,2717,4052,610
Silent Hill: Revelation,2012,females,5.1,905,286,654,1135,1608,1932,1253,870,513,620,5.1,7.0,5.3,5.0,5.2,9776,1,2800,5518,858
The Happening,2008,females,5.2,1546,920,2018,3466,4609,4505,3046,2074,1733,2116,5.2,4.4,5.3,5.2,5.4,26033,5,4544,16560,3809
Blair Witch,2016,females,5.0,181,134,335,642,1003,1163,766,452,345,431,5.0,2.0,5.1,5.0,4.7,5452,1,1545,2822,605
[REC] 3: Genesis,2012,females,5.0,238,127,235,454,613,710,525,325,253,339,5.0,4.5,5.0,4.9,5.6,3819,2,987,2258,390
A Haunted House,2013,females,5.2,756,257,500,715,865,989,650,442,332,485,5.2,2.8,5.5,5.0,4.7,5991,5,2004,2846,602
Paranormal Activity: The Marked Ones,2014,females,5.0,406,183,436,828,1118,1308,882,587,376,541,5.0,5.0,5.1,5.0,5.0,6665,2,2099,3369,679
Chernobyl Diaries,2012,females,5.0,541,288,674,1277,2030,2265,1623,1075,637,752,5.0,3.0,5.1,4.9,5.2,11162,2,3200,6061,1188
Child's Play 3,1991,females,5.3,457,127,255,483,699,932,577,331,188,214,5.3,4.7,5.4,5.2,4.9,4263,6,951,2519,559
A Nightmare on Elm Street 5: The Dream Child,1989,females,5.6,447,135,298,565,794,1023,513,230,133,123,5.6,5.6,5.4,5.6,5.6,4261,5,719,2531,799
Halloween 5: The Revenge of Michael Myers,1989,females,5.6,422,135,268,425,655,823,430,208,103,155,5.6,5.5,5.5,5.7,5.5,3624,5,642,2099,657
The Haunted Mansion,2003,females,5.5,848,298,781,1265,1819,2018,1252,696,330,224,5.5,6.1,5.8,5.2,5.6,9531,7,2955,4642,1406
Scooby-Doo 2: Monsters Unleashed,2004,females,5.6,1111,350,680,1137,1448,1736,960,519,301,314,5.6,6.7,5.9,5.2,5.6,8556,8,3575,3642,813
Exorcist: The Beginning,2004,females,5.2,223,102,280,541,857,1028,669,457,211,266,5.2,4.0,5.2,5.1,5.4,4634,2,425,2932,1158
The Cave,2005,females,5.3,306,153,340,708,992,1236,677,419,271,235,5.3,5.5,5.3,5.1,5.6,5337,2,808,3247,1081
Shutter,2008,females,5.6,504,235,633,1122,1502,1498,871,412,247,308,5.6,5.5,5.7,5.5,5.7,7332,2,1665,4523,862
The Final Destination,2009,females,5.4,1148,461,984,1733,2526,2805,1619,912,635,672,5.4,5.2,5.6,5.3,5.9,13495,7,4145,7486,1216
Doom,2005,females,5.6,762,305,659,1146,1430,1348,719,434,288,321,5.6,6.0,5.6,5.6,5.7,7412,1,923,4679,1497
The Mummy: Tomb of the Dragon Emperor,2008,females,5.4,1251,595,1267,2462,3857,4071,2248,1277,826,933,5.4,4.7,5.6,5.3,5.8,18787,3,4444,10796,2536
Flatliners,2017,females,5.5,402,227,637,1323,2196,1943,957,477,242,232,5.5,4.5,5.7,5.4,5.5,8636,10,2706,4035,924
A Nightmare on Elm Street,2010,females,5.4,1252,570,1205,1940,2667,2758,1458,938,648,967,5.4,5.5,5.7,5.3,5.2,14403,6,4421,7947,1372
Hellboy,2019,females,5.3,321,211,454,865,1259,1177,755,482,292,461,5.3,5.9,5.2,5.3,5.3,6277,6,1325,3248,1005
The Strangers: Prey at Night,2018,females,5.2,221,89,265,525,713,754,459,303,227,281,5.2,3.3,5.2,5.1,5.5,3837,3,1128,1834,467
Sorority Row,2009,females,5.4,501,210,486,841,1149,1311,790,455,276,337,5.4,8.0,5.6,5.2,5.3,6356,2,1939,3591,585
Apollo 18,2011,females,5.1,277,151,424,774,1057,1061,715,495,349,377,5.1,8.0,5.0,5.1,5.3,5680,1,979,3421,1077
The Lazarus Effect,2015,females,5.3,313,203,457,1022,1626,1812,1127,605,297,295,5.3,3.5,5.4,5.2,5.3,7757,2,2185,4030,945
The First Purge,2018,females,5.5,383,215,553,1039,1379,1270,684,371,223,472,5.5,4.2,5.6,5.4,5.2,6589,13,2171,2921,729
Friday the 13th Part VII: The New Blood,1988,females,5.5,293,114,214,377,455,533,269,153,76,124,5.5,7.8,5.3,5.6,5.5,2608,4,400,1431,638
Queen of the Damned,2002,females,6.0,2859,914,1567,2146,2192,1941,1239,737,523,732,6.0,5.0,6.4,6.0,5.8,14850,1,2383,9979,1839
