Name,Year,User_Type,Rating,vote10f,vote9f,vote8f,vote7f,vote6f,vote5f,vote4f,vote3f,vote2f,vote1f,Rate_Female,Rate_<18f,Rate_18-29f,Rate_30-44f,Rate_45+f,Number_Female,Number_<18f,Number_18-29f,Number_30-44f,Number_45+f
Halloween,1978,females,7.5,6122,3745,6921,5850,3017,1289,584,387,239,371,7.5,8.0,7.3,7.5,7.9,28525,57,6303,15260,5214
Vampire Hunter D: Bloodlust,2000,females,7.8,747,542,941,589,226,123,54,25,25,47,7.8,8.0,7.7,7.9,7.3,3319,1,513,2276,417
Repulsion,1965,females,7.7,1035,1254,1966,1374,585,266,117,76,51,110,7.7,7.3,7.7,7.7,7.6,6834,3,1449,3787,1334
What We Do in the Shadows,2014,females,7.9,5729,5253,8311,5184,1812,680,267,155,106,173,7.9,8.1,8.0,7.9,7.9,27670,16,8027,14373,3040
Get Out,2017,females,7.7,10677,12678,21683,15407,6166,2378,1104,625,435,853,7.7,7.8,7.9,7.6,7.6,72006,72,24187,31881,7611
Predator,1987,females,7.3,2860,2364,5582,4953,2610,1216,546,306,194,244,7.3,7.7,7.1,7.3,7.4,20875,12,2782,12135,4846
The Bride of Frankenstein,1935,females,7.6,809,598,1286,967,476,185,97,58,54,241,7.6,6.9,7.5,7.5,7.8,4771,8,726,2222,1656
Frankenstein,1931,females,7.7,1506,1025,2045,1428,627,250,114,76,63,198,7.7,6.4,7.5,7.6,8.0,7332,9,1292,3470,2307
The Innocents,1961,females,7.8,729,749,1287,876,378,147,78,30,20,35,7.8,7.5,7.8,7.7,7.9,4329,2,615,2293,1267
I Saw the Devil,2010,females,7.6,1721,1929,3291,2271,978,431,198,125,95,219,7.6,8.7,7.7,7.6,7.7,11258,6,2724,6439,1351
Freaks,1932,females,8.0,1283,1217,1896,1106,442,204,78,46,25,71,8.0,6.0,8.0,8.0,8.1,6368,1,1096,3545,1486
King Kong,1933,females,7.5,1402,858,1790,1404,683,357,164,126,99,263,7.5,7.2,7.3,7.4,7.7,7146,7,851,3572,2521
Dawn of the Dead,1978,females,7.5,1544,1229,2446,1720,793,397,188,114,94,321,7.5,7.3,7.5,7.5,7.6,8846,11,1205,5245,2063
Let the Right One In,2008,females,7.8,5851,6623,9446,5662,2498,1167,616,388,353,787,7.8,6.7,7.6,7.8,7.9,33391,7,6658,21238,4361
Night of the Living Dead,1968,females,7.7,2169,1826,3348,2176,1108,490,172,125,83,203,7.7,7.6,7.5,7.7,7.9,11700,21,1968,6567,2639
The Exorcist,1973,females,7.8,9437,8570,14451,9633,4396,2110,964,580,432,919,7.8,7.7,7.6,7.8,8.1,51492,55,10474,29302,9059
Rosemary's Baby,1968,females,7.9,6030,6379,10550,6338,2615,1094,548,315,273,562,7.9,8.1,7.9,7.8,7.9,34704,37,7179,19201,6681
Nosferatu,1922,females,7.9,2485,2177,3618,1967,798,402,173,102,127,543,7.9,7.9,7.8,7.9,8.2,12392,9,2500,6838,2599
Shaun of the Dead,2004,females,7.9,13660,11651,17817,10513,4424,1834,857,558,408,1219,7.9,8.2,7.8,7.9,8.0,62941,23,14705,36813,8129
Diabolique,1955,females,8.0,1275,1507,2166,1130,392,249,95,64,51,318,8.0,6.0,8.1,8.0,8.0,7247,4,1102,3724,2139
The Cabinet of Dr. Caligari,1920,females,8.1,1706,1686,2380,1177,407,186,98,74,50,424,8.1,8.4,8.1,8.2,8.1,8188,9,1977,4324,1561
The Thing,1982,females,7.7,5123,5338,8549,6023,2843,1392,577,370,275,771,7.7,8.0,7.7,7.7,7.8,31261,41,6067,16420,7023
The Blue Elephant,2014,females,7.8,961,321,277,157,116,48,27,11,15,98,7.8,8.0,8.1,7.7,5.8,2031,1,1003,803,70
What Ever Happened to Baby Jane?,1962,females,8.3,2628,2460,3322,1518,468,197,77,34,38,76,8.3,7.0,8.3,8.2,8.4,10818,7,1652,5256,3383
Demon Slayer: Mugen Train,2020,females,8.1,570,413,442,239,73,38,17,12,11,97,8.1,7.9,8.4,8.0,5.8,1912,16,796,633,175
The Shining,1980,females,8.3,29542,33966,33197,17613,7052,3289,1601,980,698,1229,8.3,8.7,8.2,8.3,8.3,129167,120,36494,65989,17464
Alien,1979,females,8.2,16532,18824,20780,12070,4555,1999,1009,523,403,737,8.2,8.5,8.0,8.2,8.5,77432,71,15333,40822,16332
Tumbbad,2018,females,7.6,341,281,281,193,82,48,26,10,13,46,7.6,8.0,7.7,7.6,6.8,1321,4,340,566,133
