Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
The Haunting,1999,males,4.9,1235,640,1914,4469,8089,10067,7249,4365,2750,2607,4.9,8.0,4.7,4.9,4.9,43385,2,2743,28003,11207
Darkness Falls,2003,males,4.9,928,406,1077,2134,3557,4230,2995,1840,1274,1218,4.9,6.0,5.1,4.9,5.0,19659,1,1652,13110,4317
Halloween III: Season of the Witch,1982,males,5.0,2446,1055,2547,4148,4801,4644,3935,3147,2508,3496,5.0,5.9,5.1,5.0,5.1,32727,19,4344,18441,8332
Silent Hill: Revelation,2012,males,5.0,2939,917,2174,4413,7722,8815,5826,3819,2500,2582,5.0,5.1,5.0,4.9,4.9,41707,7,8036,26315,4983
The Happening,2008,males,5.0,4981,2751,8159,18128,26816,26143,18323,13365,10006,12569,5.0,3.3,4.8,5.0,5.1,141241,24,17350,94427,24438
A Serbian Film,2010,males,5.1,3538,1831,3960,5825,5930,5092,3288,2441,2047,6723,5.1,4.9,4.9,5.2,5.3,40675,19,10501,23296,4792
Blair Witch,2016,males,5.0,683,430,1467,3362,5411,5800,4064,2505,1558,1793,5.0,4.7,5.1,5.0,4.8,27073,16,5579,15472,3937
[REC] 3: Genesis,2012,males,5.0,938,451,1279,2796,4740,5233,3463,2376,1468,1761,5.0,4.8,4.8,5.0,5.3,24505,12,4774,14914,3603
A Haunted House,2013,males,5.0,2644,897,2066,3675,5270,5316,3555,2559,1840,2388,5.0,4.9,5.3,4.9,4.6,30210,19,8661,16034,3188
Chernobyl Diaries,2012,males,5.0,1741,702,2075,5186,9029,9934,6644,3877,2237,2125,5.0,5.9,5.0,5.0,5.1,43550,8,8806,25466,6814
Paranormal Activity: The Marked Ones,2014,males,5.0,1158,527,1480,3210,4993,5707,3713,2204,1369,2088,5.0,4.6,5.0,5.0,4.9,26449,21,6777,14274,3456
Halloween 5: The Revenge of Michael Myers,1989,males,5.0,1379,417,1154,2654,4808,6387,4141,2266,1175,939,5.0,3.8,4.9,5.1,4.9,25320,16,3858,15340,4854
A Nightmare on Elm Street 5: The Dream Child,1989,males,5.1,1333,405,1232,3062,5797,7933,4890,2496,1200,900,5.1,4.5,5.0,5.1,5.0,29248,20,4072,18257,5598
Exorcist: The Beginning,2004,males,5.1,959,436,1305,3000,5345,5817,3536,2073,1089,1220,5.1,4.7,4.9,5.1,5.2,24780,3,1722,16258,6138
Child's Play 3,1991,males,5.1,1674,430,1199,2759,4901,6369,4007,2279,1125,910,5.1,5.2,5.2,5.1,4.7,25653,29,4269,16530,3593
The Cave,2005,males,5.1,847,362,1210,2970,5403,6258,3807,2170,1127,1131,5.1,6.5,5.1,5.1,5.2,25285,2,2472,15836,6160
The Haunted Mansion,2003,males,4.9,935,322,1029,2547,5273,6759,4735,2688,1382,1003,4.9,4.7,5.0,4.7,5.0,26673,12,5933,13975,5540
The Final Destination,2009,males,5.1,3172,1298,3511,8190,14300,16456,9793,5549,3270,3531,5.1,4.7,5.2,5.1,5.3,69070,34,15652,42305,8171
Shutter,2008,males,5.1,936,364,1100,2455,4371,4767,2948,1663,1009,1175,5.1,4.5,5.3,5.1,5.2,20788,2,2902,13497,3821
Doom,2005,males,5.2,4114,1610,4901,11106,18103,18019,11221,6759,3857,3740,5.2,4.2,5.3,5.2,5.2,83430,14,9193,57556,13679
A Nightmare on Elm Street,2010,males,5.2,3362,1466,3989,8645,13880,13721,8109,5083,3195,4192,5.2,4.2,5.4,5.1,4.9,65642,18,13243,41185,8577
Hellboy,2019,males,5.2,1897,1012,3036,7371,11866,11624,6871,4291,2517,2755,5.2,4.7,5.0,5.2,5.4,53240,46,9749,28782,9182
Apollo 18,2011,males,5.2,1598,897,2672,6121,9356,8475,5392,3405,2106,2282,5.2,3.2,5.1,5.2,5.3,42304,4,5575,25673,9658
The Strangers: Prey at Night,2018,males,5.2,647,320,1020,2206,3566,3555,2248,1395,875,1082,5.2,5.8,5.2,5.2,5.1,16914,17,3704,8951,2741
Flatliners,2017,males,5.1,614,343,1066,3057,5984,5965,3250,1911,1154,1027,5.1,5.6,5.2,5.1,5.1,24371,9,4677,12866,4673
Sorority Row,2009,males,5.1,1059,393,1031,2226,3674,4271,2634,1596,949,1039,5.1,7.7,5.3,5.0,5.0,18872,5,3047,12050,3234
The Lords of Salem,2012,males,5.2,1078,593,1557,2662,3374,3433,2544,1763,1240,1557,5.2,6.0,5.5,5.2,5.0,19801,2,2470,12021,4193
The Mummy: Tomb of the Dragon Emperor,2008,males,5.2,4069,1539,4846,13078,24846,26798,14531,8133,4416,4557,5.2,5.0,5.3,5.1,5.4,106813,23,20452,65549,15749
The Lazarus Effect,2015,males,5.2,733,326,1068,3196,6128,6671,3949,2081,951,822,5.2,4.3,5.2,5.1,5.2,25925,6,4788,14725,4791
