Name,Year,User_Type,Rating,vote10m,vote9m,vote8m,vote7m,vote6m,vote5m,vote4m,vote3m,vote2m,vote1m,Rate_Male,Rate_<18m,Rate_18-29m,Rate_30-44m,Rate_45+m,Number_Male,Number_<18m,Number_18-29m,Number_30-44m,Number_45+m
Tusk,2014,males,5.4,1435,875,2681,5432,6921,5411,3284,2229,1640,2538,5.4,6.0,5.4,5.4,5.1,32446,9,5698,19352,5438
Sinister 2,2015,males,5.2,998,512,1428,3513,6793,6864,3961,2240,1132,1025,5.2,4.5,5.3,5.1,5.2,28466,14,8103,14341,3667
The Bad Batch,2016,males,5.2,566,387,1151,2662,3941,3729,2293,1420,927,1122,5.2,1.0,5.5,5.3,5.0,18198,1,2805,10266,3716
Friend Request,2016,males,5.2,513,258,778,1882,3128,2963,1633,993,608,698,5.2,4.5,5.1,5.2,5.3,13454,10,3330,6858,2112
The New Mutants,2020,males,5.3,1006,575,1978,5578,9611,8802,4837,2500,1481,1974,5.3,5.2,5.2,5.3,5.4,38342,74,7908,19965,6589
The Curse of La Llorona,2019,males,5.2,750,350,1229,3228,5820,5736,3243,1816,911,881,5.2,4.9,5.1,5.2,5.4,23964,47,5875,11990,3702
The Nun,2018,males,5.3,3354,1508,4012,9516,15393,14441,8343,4932,2816,3091,5.3,5.3,5.3,5.3,5.4,67406,128,19605,31641,7910
House of Wax,2005,males,5.3,3846,1719,4869,10714,16560,15159,9393,5226,3029,3293,5.3,6.2,5.6,5.3,5.3,73808,10,12623,48681,9775
The Lawnmower Man,1992,males,5.5,860,568,1691,3805,6005,5422,3097,1664,902,763,5.5,5.5,5.1,5.5,5.4,24777,2,811,14314,8874
The Eye,2008,males,5.4,1639,632,1901,4704,8040,7602,4039,2135,1157,1391,5.4,7.0,5.5,5.3,5.4,33240,3,4388,22450,5486
Eight Legged Freaks,2002,males,5.4,1343,723,2555,6292,9387,8170,4804,2704,1407,1311,5.4,5.2,5.5,5.3,5.8,38696,10,4704,23728,8880
The Messengers,2007,males,5.3,1037,383,1136,3063,5614,5542,2977,1696,903,961,5.3,7.0,5.3,5.2,5.4,23312,1,2726,15070,4929
The Ring Two,2005,males,5.4,2528,1195,3285,8104,14315,13737,7407,3686,2126,2044,5.4,5.7,5.6,5.3,5.3,58427,9,9478,38150,8458
The Silence,2019,males,5.2,472,295,1087,3085,5875,5366,2851,1659,1034,1038,5.2,4.7,5.0,5.2,5.5,22762,33,3805,11918,4764
Piranha 3D,2010,males,5.5,3338,1857,5428,11101,14231,11581,7092,4521,2968,3772,5.5,3.8,5.3,5.5,5.6,65889,16,11279,41495,10952
Gretel & Hansel,2020,males,5.4,456,316,1150,2530,3587,3203,1874,1070,603,970,5.4,5.2,5.5,5.5,5.3,15759,28,2867,8425,3078
Turistas,2006,males,5.4,1244,501,1557,3814,6244,5677,3101,1718,1070,1548,5.4,6.0,5.4,5.3,5.4,26474,1,2340,17651,5795
In the Tall Grass,2019,males,5.4,535,399,1471,4429,7132,6016,3369,1818,991,995,5.4,5.6,5.4,5.4,5.4,27155,44,5334,14601,4587
A Nightmare on Elm Street 2: Freddy's Revenge,1985,males,5.4,2145,912,2568,6062,10351,10032,5543,2949,1624,1029,5.4,5.4,5.5,5.5,5.3,43215,32,6356,26070,8705
Maximum Overdrive,1986,males,5.4,1507,652,1635,3318,4704,4320,2632,1618,971,926,5.4,4.0,5.2,5.5,5.3,22283,3,1266,12421,7742
Hellraiser III: Hell on Earth,1992,males,5.5,1128,474,1330,2939,4801,4839,2389,1286,624,558,5.5,5.6,5.5,5.5,5.4,20368,5,1906,12476,5182
Dreamcatcher,2003,males,5.5,2528,1837,4989,10673,14002,11439,6838,4136,2434,2808,5.5,4.8,5.5,5.5,5.6,61684,5,4120,42237,13447
White Noise,2005,males,5.5,1052,658,1977,5010,8253,7233,3737,2045,1090,1044,5.5,5.0,5.4,5.5,5.6,32099,3,2006,21800,7497
Bride of Chucky,1998,males,5.4,2312,969,2577,5044,7433,7428,4385,2373,1428,1318,5.4,6.4,5.6,5.4,5.4,35267,27,5363,22771,5591
Ghost Ship,2002,males,5.5,2160,1395,3929,9787,15603,14103,7673,3873,2002,1523,5.5,6.3,5.5,5.4,5.6,62048,8,7475,40308,11993
The Omen,2006,males,5.5,1765,918,2608,5962,9815,7952,4091,2186,1180,1833,5.5,3.9,5.6,5.5,5.6,38310,7,4019,25766,7525
Friday the 13th,2009,males,5.5,4499,2144,5420,11027,16192,13145,7137,4252,2551,2975,5.5,5.0,5.5,5.5,5.4,69342,32,13341,43113,9772
Winchester,2018,males,5.4,545,284,961,2593,4444,4026,2081,1158,626,518,5.4,5.0,5.1,5.3,5.6,17236,16,2952,8749,4055
Hostel: Part II,2007,males,5.4,3297,1688,4620,9557,13884,12338,6642,3859,2535,4051,5.4,5.4,5.5,5.4,5.5,62471,14,8065,42807,9547
The Last Days on Mars,2013,males,5.5,709,436,1500,4438,7829,6583,3173,1513,736,760,5.5,6.0,5.6,5.5,5.5,27677,1,2280,16578,7541
Red Riding Hood,2011,males,5.2,2124,1103,3182,7537,12257,11639,6918,4043,2441,2772,5.2,4.7,5.4,5.2,5.3,54016,7,8908,32983,9905
The Innkeepers,2011,males,5.6,902,742,2230,4047,4708,4038,2601,1619,1069,1239,5.6,5.0,5.7,5.6,5.5,23195,2,2508,14894,4972
Unfriended,2014,males,5.6,1684,1006,3454,7851,10328,7071,3773,2386,1769,2415,5.6,5.0,5.6,5.7,5.4,41737,40,12836,20832,4986
The Cloverfield Paradox,2018,males,5.5,1807,1336,4537,11900,17607,13236,7327,4129,2475,2184,5.5,5.4,5.4,5.5,5.6,66538,26,12574,36713,11198
Resident Evil: The Final Chapter,2016,males,5.5,3238,1444,4069,9191,14264,11464,5825,3510,2337,3033,5.5,5.3,5.5,5.4,5.7,58375,19,11799,33136,8304
The Dead Don't Die,2019,males,5.4,1060,913,3003,6803,9718,8597,4827,2921,2002,2453,5.4,5.8,5.5,5.4,5.5,42297,30,6879,22756,9135
Children of the Corn,1984,males,5.6,1332,709,2152,5243,8386,6774,3482,1773,868,745,5.6,7.0,5.5,5.6,5.6,31464,6,3720,18308,8141
Peninsula,2020,males,5.4,481,284,873,2589,4574,3860,1995,1090,582,658,5.4,5.2,5.5,5.4,5.6,16986,37,3645,8881,2888
The Texas Chainsaw Massacre 2,1986,males,5.6,1551,886,2085,3217,3903,3405,2235,1402,1003,1025,5.6,5.7,5.7,5.6,5.6,20712,12,2900,12037,4897
Village of the Damned,1995,males,5.6,767,368,1217,3483,5879,4900,2204,1050,465,443,5.6,6.0,5.6,5.6,5.5,20776,2,1485,12469,6114
Scream 3,2000,males,5.5,4233,1810,5162,12112,21021,19618,9185,4285,2067,2141,5.5,5.7,5.8,5.4,5.6,81634,47,12656,53304,12177
Urban Legend,1998,males,5.5,1541,841,2371,5756,9854,9014,4656,2312,1179,1074,5.5,5.6,5.7,5.4,5.4,38598,10,3156,26451,7541
House on Haunted Hill,1999,males,5.6,1760,1011,2749,5731,8096,6959,3821,2159,1246,1034,5.6,5.2,5.6,5.6,5.5,34566,4,2298,23355,7826
Thir13en Ghosts,2001,males,5.5,2131,1327,4009,8621,12559,10465,5913,3538,1964,1728,5.5,4.6,5.5,5.5,5.6,52255,12,5570,34973,9731
Cube²: Hypercube,2002,males,5.6,1538,1163,3483,7598,11948,9473,5027,2790,1592,1391,5.6,6.1,5.4,5.6,5.6,46003,10,5214,32228,7043
Cabin Fever,2002,males,5.6,2503,1637,4468,9010,11369,8610,4746,3026,2133,2983,5.6,6.8,5.7,5.7,5.5,50485,7,5413,33441,10042
Jeepers Creepers 2,2003,males,5.6,2258,1081,3054,6610,10050,8273,4471,2454,1315,1321,5.6,5.1,5.7,5.5,5.8,40887,9,5885,25859,7466
Creep,2004,males,5.6,820,471,1507,3489,4907,3737,2049,1198,726,806,5.6,6.0,5.6,5.6,5.6,19710,1,2050,12672,4414
Alien vs. Predator,2004,males,5.6,6403,3481,10492,24178,34472,25925,13911,8111,4694,5507,5.6,4.8,5.7,5.5,5.8,137174,38,18662,87976,24309
Halloween Kills,2021,males,5.6,2021,1037,2841,5050,6474,5000,3063,1936,1210,1549,5.6,6.0,5.6,5.6,5.5,30181,39,6301,15788,5042
Diary of the Dead,2007,males,5.6,2250,1263,3249,6258,7983,5950,3542,2224,1439,1749,5.6,6.5,5.5,5.6,5.7,35907,5,3208,24691,7154
Dark Water,2005,males,5.5,1394,808,2243,5594,9671,8403,3877,1812,1022,1169,5.5,6.0,5.6,5.5,5.7,35993,3,3014,23421,8436
The Ward,2010,males,5.5,1144,590,1764,4550,7488,5927,3191,1643,836,815,5.5,6.0,5.7,5.5,5.5,27948,2,3457,17518,6025
Saw: The Final Chapter,2010,males,5.5,5537,2326,5341,10162,14612,11902,6395,3883,2728,3624,5.5,5.6,5.7,5.5,5.5,66510,45,17540,39803,6003
Maggie,2015,males,5.6,1294,678,2261,5314,7808,6592,3252,1649,950,1036,5.6,4.6,5.7,5.6,5.6,30834,7,3454,18478,7083
Don't Be Afraid of the Dark,2010,males,5.5,1236,730,2210,5130,7956,6520,3563,1882,1186,1179,5.5,5.8,5.6,5.5,5.6,31592,4,4129,20198,6229
House at the End of the Street,2012,males,5.4,1691,752,2420,6691,11458,9421,4820,2451,1340,1194,5.4,4.4,5.6,5.4,5.5,42238,9,8235,24096,7212
I Know What You Did Last Summer,1997,males,5.7,3625,1892,5605,14851,24177,18531,8370,3707,2017,1958,5.7,6.7,5.8,5.7,5.7,84733,28,10320,56722,14225
Freddy vs. Jason,2003,males,5.7,6216,3045,7483,13656,17645,13406,7488,4324,2517,2556,5.7,6.0,5.8,5.7,5.6,78336,33,11945,52247,10971
Club Dread,2004,males,5.7,1613,760,2014,3693,4627,3634,2079,1230,733,858,5.7,7.0,5.9,5.7,5.4,21241,1,1524,15108,3929
Open Water,2003,males,5.7,1142,1037,3180,6931,8278,5403,2763,1828,1269,2802,5.7,5.6,5.5,5.6,6.1,34633,9,2785,21084,9725
Lake Placid,1999,males,5.7,1538,1003,3052,6960,9764,7630,4214,2243,1165,944,5.7,6.3,5.6,5.6,5.9,38513,3,3081,23147,10822
Hatchet,2006,males,5.7,1617,864,2194,3770,4663,3492,1972,1275,900,1085,5.7,5.5,5.8,5.7,5.6,21832,2,2473,14313,4319
Splice,2009,males,5.8,1943,1742,5860,13783,17926,12152,6418,3339,1984,2652,5.8,4.9,5.7,5.8,5.9,67799,9,7914,44871,12832
Priest,2011,males,5.7,4080,2427,6939,15722,22682,16481,8351,4316,2218,2203,5.7,4.7,5.8,5.6,5.9,85419,7,13049,54403,14766
Pet Sematary,2019,males,5.7,1258,884,3420,9025,14532,10587,4960,2368,1149,1334,5.7,5.4,5.7,5.6,5.7,49517,50,10615,26550,7688
Army of the Dead,2021,males,5.7,3567,2212,7263,16559,21735,14973,7995,4940,3087,4096,5.7,6.2,5.8,5.7,5.7,86427,140,18035,45932,13062
The Rental,2020,males,5.7,300,215,1026,2857,4308,2977,1306,673,384,440,5.7,6.4,5.7,5.8,5.7,14486,5,2392,8136,2880
Paranormal Activity 2,2010,males,5.7,3246,2345,6085,12329,16912,12131,6143,3372,2229,3747,5.7,5.5,5.5,5.7,5.6,68539,22,15261,42578,7925
The Last Exorcism,2010,males,5.7,1286,928,2897,6250,8165,6210,3227,1889,1151,1700,5.7,5.8,5.6,5.7,5.7,33703,4,5105,21332,6103
Cooties,2014,males,5.7,544,317,1196,2973,4668,3453,1694,792,441,585,5.7,4.9,5.7,5.6,5.6,16663,10,2789,9822,3032
The Bay,2012,males,5.6,604,451,1604,3366,4532,3341,1779,1075,672,829,5.6,5.9,5.8,5.6,5.7,18253,6,2297,10721,4323
47 Meters Down,2017,males,5.6,813,486,1761,4991,8423,6177,2909,1458,821,940,5.6,4.9,5.5,5.6,5.6,28779,20,5121,15398,5762
Would You Rather,2012,males,5.7,786,526,1670,4198,6046,4285,2151,1202,778,696,5.7,5.5,5.6,5.7,5.7,22338,15,5526,12197,3260
I Spit on Your Grave 2,2013,males,5.6,1231,577,1421,3164,4880,3655,1728,924,601,769,5.6,4.5,5.7,5.6,5.6,18950,5,3723,10657,3482
Insidious: The Last Key,2018,males,5.6,1262,626,1926,5123,9081,6813,3115,1449,734,803,5.6,5.5,5.6,5.6,5.7,30932,42,8546,15284,3930
Velvet Buzzsaw,2019,males,5.7,605,560,2268,6243,9336,6809,3515,1719,903,834,5.7,5.4,5.6,5.7,5.8,32792,12,7885,17267,4809
Regression,2015,males,5.7,591,398,1490,4347,7109,5025,2314,1067,462,529,5.7,5.3,5.9,5.6,5.6,23332,3,3755,13092,4949
Child's Play,2019,males,5.7,974,622,2235,5648,7716,5273,2606,1433,843,1013,5.7,5.9,5.8,5.7,5.7,28363,37,5784,15970,3986
Jaws 2,1978,males,5.7,1588,1030,3457,8868,15248,11136,4736,2175,941,776,5.7,5.5,5.6,5.7,5.8,49955,31,5500,27282,14917
Halloween 4: The Return of Michael Myers,1988,males,5.8,2436,1017,2915,5613,8451,6031,2929,1370,562,605,5.8,5.4,5.8,5.9,5.6,31929,20,4782,19112,6400
Thinner,1996,males,5.8,815,394,1440,3611,5537,3998,1844,874,480,410,5.8,6.2,5.8,5.8,5.7,19403,4,1362,12178,5129
Species,1995,males,5.8,1501,946,3696,11019,17638,11641,4968,2221,1001,884,5.8,4.3,5.6,5.8,6.0,55515,3,3216,34637,15724
Halloween H20: 20 Years Later,1998,males,5.7,2800,1410,3769,7858,11209,9023,4471,2107,1121,1196,5.7,6.0,5.9,5.7,5.7,44964,18,5134,29004,8812
The Relic,1997,males,5.8,776,446,1510,3420,4823,3525,1762,882,453,422,5.8,5.0,5.8,5.8,5.8,18019,1,692,10611,6145
Cannibal Holocaust,1980,males,5.9,3575,2234,4952,6815,6784,4445,2589,1734,1387,3015,5.9,4.9,5.8,5.9,5.8,37530,16,5922,24051,6183
End of Days,1999,males,5.8,2947,1865,6206,14591,21588,15392,7316,3571,1846,1712,5.8,6.2,5.9,5.8,5.7,77034,4,3874,51597,18737
V/H/S/2,2013,males,6.1,1461,1176,3357,5785,6148,3603,1891,1120,690,968,6.1,6.5,6.2,6.1,5.8,26199,14,5599,15424,3680
Gothika,2003,males,5.7,1854,1534,5371,12910,18809,13379,6476,3261,1664,1440,5.7,5.8,5.8,5.7,5.8,66698,4,5706,44981,13747
Blade: Trinity,2004,males,5.8,5692,3425,9705,23457,34748,23168,10568,5458,2678,2638,5.8,4.5,5.9,5.8,5.9,121537,20,17389,80275,18257
Hollow Man,2000,males,5.8,2292,1614,6216,17800,27232,18418,8327,3939,1865,1482,5.8,5.5,6.0,5.8,5.8,89185,8,7621,59229,19292
Resident Evil: Afterlife,2010,males,5.8,9312,4408,10740,21959,29866,20676,10638,6023,3701,4485,5.8,5.6,5.9,5.7,5.9,121808,24,22012,78791,15796
Final Destination 3,2006,males,5.7,4965,2419,6536,15649,25781,18153,7993,3817,1836,2021,5.7,5.8,5.9,5.7,5.8,89170,41,18956,55842,10567
Cry Wolf,2005,males,5.8,1361,643,1626,3241,4161,2960,1525,811,487,590,5.8,5.5,6.0,5.8,5.6,17405,4,1941,12078,3003
Saw V,2008,males,5.7,6303,2715,6873,14154,21395,15332,6931,3809,2179,3476,5.7,6.0,5.9,5.7,5.6,83167,50,18823,52964,7729
The Texas Chainsaw Massacre: The Beginning,2006,males,5.8,3322,1799,4652,8998,12516,8271,3857,2216,1408,1754,5.8,4.8,5.8,5.8,5.8,48793,16,7663,32397,6908
The Wolfman,2010,males,5.8,3024,1988,6330,15409,21895,14831,6985,3305,1677,1661,5.8,5.3,5.8,5.8,6.0,77105,9,9098,51500,14215
Black Sheep,2006,males,5.8,1456,1023,2898,6034,7064,4673,2542,1502,926,1208,5.8,5.3,5.5,5.8,6.0,29326,3,3298,19848,5457
Old,2021,males,5.8,1000,868,3258,8068,9982,6573,3319,2058,1280,1508,5.8,5.8,5.7,5.8,5.8,37914,70,7805,19985,6615
The Descent: Part 2,2009,males,5.7,1424,754,2425,5818,8839,5922,2861,1425,821,837,5.7,4.1,5.7,5.7,5.8,31126,8,4722,19497,5567
The Babysitter: Killer Queen,2020,males,5.7,711,458,1400,3462,4940,3177,1618,938,526,550,5.7,5.5,5.7,5.7,5.8,17780,60,4344,9320,2399
V/H/S,2012,males,5.8,2005,1568,4562,8256,9288,6157,3460,2040,1378,1829,5.8,6.8,5.9,5.9,5.6,40543,13,8059,24231,5994
Paranormal Activity 3,2011,males,5.8,3549,2400,6352,11931,14633,9771,5051,2864,1818,3343,5.8,5.7,5.7,5.8,5.7,61712,21,14780,36974,7182
The Purge,2013,males,5.7,3975,2832,9442,24640,36555,25620,12696,6874,3782,4416,5.7,5.5,5.7,5.6,5.7,130832,93,32704,70612,16666
Underworld: Blood Wars,2016,males,5.7,2698,1222,3432,8424,13003,9166,4205,2214,1111,1044,5.7,5.5,5.9,5.6,5.8,46519,9,7605,26961,8078
Jigsaw,2017,males,5.7,2217,1192,3406,8260,12493,8583,4287,2288,1139,1145,5.7,5.8,5.8,5.7,5.7,45010,60,12534,23298,4934
Morgan,2016,males,5.8,635,473,1905,5582,8270,5401,2263,1020,474,547,5.8,5.4,5.7,5.7,6.1,26570,5,3321,14423,6860
Vivarium,2019,males,5.8,718,759,2520,5901,6928,4501,2312,1266,903,1585,5.8,6.3,5.9,5.8,5.7,27393,30,4970,14771,5295
High Life,2018,males,5.8,566,882,2387,3855,4275,3148,1851,1172,835,1083,5.8,7.0,6.4,5.7,5.4,20054,13,4210,10220,4158
Eli,2019,males,5.8,498,384,1312,3346,4804,3114,1458,779,442,487,5.8,4.4,5.6,5.8,5.9,16624,19,3163,8926,2929
Child's Play 2,1990,males,5.8,2350,1023,2717,5537,8286,6393,2864,1349,671,643,5.8,6.3,6.0,5.9,5.4,31833,35,5270,20376,4624
Escape Room: Tournament of Champions,2021,males,5.7,452,327,984,2841,4771,3350,1478,702,361,409,5.7,6.4,5.8,5.6,5.5,15675,50,3680,8450,2096
King Kong,1976,males,5.9,1052,600,1831,4396,6109,3933,1856,938,448,491,5.9,6.7,5.6,5.9,6.0,21654,3,1535,9409,9928
"Salò, or the 120 Days of Sodom",1975,males,5.9,4273,2866,5163,6322,5790,4123,2521,1907,1599,3897,5.9,7.3,6.0,5.9,5.8,38461,24,6857,22846,7210
The Brothers Grimm,2005,males,5.9,2366,1633,5985,15425,21855,14108,6171,2968,1517,1622,5.9,5.2,5.9,5.8,5.9,73650,5,8166,47540,15551
Dracula: Dead and Loving It,1995,males,5.8,2170,1062,2591,4805,6170,4871,2710,1458,821,683,5.8,7.1,6.2,5.9,5.3,27341,7,2629,18534,5146
The Grudge,2004,males,5.9,4773,3371,8631,16913,22388,15234,7548,3880,2308,2776,5.9,4.7,5.9,5.8,6.0,87822,14,13768,56945,13807
The Possession,2012,males,5.8,1951,1020,3008,7259,10504,6767,3052,1418,755,857,5.8,5.3,5.8,5.8,6.0,36591,6,6897,21455,6160
Hostel,2005,males,5.9,6386,4824,13195,25054,27812,17687,8998,5621,3839,6983,5.9,6.1,5.9,5.9,5.9,120399,27,15456,82508,18318
The X Files: I Want to Believe,2008,males,5.9,4020,1784,5341,12841,17910,11628,5376,2558,1447,1875,5.9,8.0,6.0,5.9,6.0,64780,1,3912,44502,14472
The Haunting in Connecticut,2009,males,5.8,1894,1201,3259,6953,9903,6908,3266,1676,944,1037,5.8,4.6,5.9,5.8,5.8,37041,5,6303,23140,6296
Saw IV,2007,males,5.8,8453,4009,9416,18461,25572,16648,8136,4266,2334,3790,5.8,6.0,6.0,5.8,5.7,101085,48,20918,66515,9539
P2,2007,males,5.9,1149,647,1974,4599,6357,3982,1851,1008,523,614,5.9,6.7,5.9,5.8,5.9,22704,3,2612,14885,4532
The Ruins,2008,males,5.9,2276,1489,4802,10704,13253,8645,4392,2333,1318,1463,5.9,6.7,5.9,5.8,5.9,50675,5,5325,33807,10108
The Mortal Instruments: City of Bones,2013,males,5.5,3166,1557,3970,8632,12354,9673,5446,3313,1897,2660,5.5,5.1,5.7,5.3,5.6,52668,10,11672,28712,8344
Quarantine,2008,males,6.0,2731,2044,5607,10776,12095,6961,3489,2034,1339,2509,6.0,5.9,5.9,6.0,6.0,49585,12,7322,32090,8530
The Fourth Kind,2009,males,5.9,3803,2657,6390,10579,11129,7785,4469,2706,1678,2148,5.9,7.3,5.9,5.9,5.6,53344,3,7175,35007,9330
Carrie,2013,males,5.9,4500,2477,6963,16018,22395,14286,6756,3308,1747,2198,5.9,4.9,5.9,5.8,5.9,80648,23,18692,45291,11186
Abraham Lincoln: Vampire Hunter,2012,males,5.9,5573,3795,11064,22869,26330,16522,8468,4517,2771,3253,5.9,6.0,6.1,5.8,5.9,105162,11,20170,62513,16773
The Tall Man,2012,males,5.9,1167,953,2784,5579,6894,4470,2177,1139,699,845,5.9,7.0,5.9,5.8,6.0,26707,2,2784,16591,6114
The Prodigy,2019,males,5.8,419,312,1074,2790,4035,2755,1159,505,282,355,5.8,5.6,5.8,5.8,5.8,13686,12,2487,7295,2715
The Void,2016,males,5.9,845,819,2596,4768,5363,3622,1987,1140,619,680,5.9,5.6,6.0,5.9,5.7,22439,6,3727,12872,4224
Cam,2018,males,5.9,306,349,1379,3678,4535,2806,1311,707,422,455,5.9,6.0,6.1,5.9,5.7,15948,29,4185,8308,2161
Annabelle Comes Home,2019,males,5.9,1428,831,2842,7145,10041,6480,2796,1459,779,986,5.9,5.7,5.8,5.8,5.9,34787,93,9551,17083,4358
Underwater,2020,males,5.8,1308,931,3508,9512,13006,8502,3695,1791,1021,960,5.8,5.5,5.9,5.9,5.7,44234,31,6707,24484,9143
Candyman,2021,males,5.9,785,743,2542,4985,5615,3562,1780,1050,740,1651,5.9,6.2,6.2,5.9,5.5,23453,27,5090,12755,3402
Friday the 13th: The Final Chapter,1984,males,6.0,2820,1410,3452,5870,7964,5570,2712,1264,684,739,6.0,6.6,6.0,6.0,5.8,32485,41,4836,19049,6952
The Last House on the Left,1972,males,6.0,1570,1110,2787,4859,5410,3324,1994,1352,826,1086,6.0,5.5,6.1,6.0,5.8,24318,11,2516,14744,6315
The Boy,2016,males,5.9,1363,967,3779,9846,13680,7735,3501,1706,810,854,5.9,5.6,5.9,5.9,6.0,44241,40,10569,23340,6585
Friday the 13th Part VI: Jason Lives,1986,males,6.0,2613,1217,3023,5055,6714,4659,2430,1182,633,728,6.0,6.8,6.1,6.0,5.7,28254,42,4110,16840,5932
The Rite,2011,males,6.0,2993,2248,6546,14120,18069,10673,4744,2163,1073,1143,6.0,7.0,6.1,6.0,5.9,63772,3,9323,41421,10743
The Amityville Horror,2005,males,5.9,3207,1991,6067,13702,18354,11368,5046,2487,1331,1456,5.9,6.3,6.0,5.9,5.7,65009,17,9926,42686,9743
Hide and Seek,2005,males,5.8,2000,1470,4387,10220,14132,9638,4439,2093,1080,1073,5.8,6.0,6.2,5.8,5.7,50532,4,5686,34237,9135
Mimic,1997,males,6.0,1152,773,2765,7301,10529,6432,2659,1187,572,562,6.0,6.3,6.0,5.9,6.0,33932,3,1936,20794,10065
The Midnight Meat Train,2008,males,6.1,2460,1875,5510,10400,10698,6156,3170,1790,1099,1455,6.1,4.8,6.0,6.1,6.1,44613,4,5231,29984,7871
Deep Rising,1998,males,6.1,1711,1088,2991,5610,6295,3812,1999,1033,579,623,6.1,7.0,6.2,6.1,6.0,25741,2,1460,16053,7359
House of 1000 Corpses,2003,males,6.0,4987,3352,6988,10360,10304,6256,3631,2499,1879,3249,6.0,5.8,6.0,6.0,5.9,53505,15,5736,35801,9721
Critters,1986,males,6.1,1258,681,2465,5266,7273,4054,1831,853,384,369,6.1,5.8,6.1,6.2,5.8,24434,6,1355,15763,6395
Wrong Turn,2003,males,6.1,4820,2870,8066,16722,20128,11026,5034,2739,1437,1563,6.1,6.5,6.1,6.0,6.1,74405,26,12311,47420,11437
Halloween,2007,males,6.1,7005,4366,10350,16133,16031,9159,5212,3190,2343,4745,6.1,5.6,6.0,6.1,6.0,78534,28,11252,51170,12799
Mirrors,2008,males,6.2,3580,2783,8376,17697,18565,9937,4597,2283,1237,1325,6.2,6.5,6.3,6.2,6.0,70380,12,11852,46051,10075
Vampires,1998,males,6.1,2125,1500,4663,9507,10551,5936,2746,1426,774,810,6.1,7.5,6.3,6.1,6.1,40038,4,2297,24969,11314
Bug,2006,males,6.1,1545,1484,3473,4902,4595,2843,1630,1103,903,1721,6.1,4.0,6.4,6.1,6.0,24199,3,1542,15358,6703
Solomon Kane,2009,males,6.1,2604,1888,5848,12901,15109,9056,3958,1789,927,1031,6.1,6.0,6.1,6.0,6.2,55111,3,7408,35324,10361
The Belko Experiment,2016,males,6.1,910,841,2854,7678,9136,4722,1957,836,476,505,6.1,6.0,6.1,6.1,6.1,29915,18,6768,16193,4558
6 Souls,2010,males,6.0,874,704,2003,4507,5634,3100,1530,718,402,581,6.0,8.0,6.1,6.0,5.9,20053,1,1953,12727,4612
Hansel & Gretel: Witch Hunters,2013,males,6.0,7243,4466,13738,29815,33439,18562,8568,4409,2494,2519,6.0,5.9,6.2,6.0,6.1,125253,24,25335,70889,19388
Splinter,2008,males,6.1,1044,806,2769,6261,6995,3709,1740,860,455,514,6.1,3.2,6.1,6.1,6.2,25153,6,2928,15972,5388
Grave Encounters,2011,males,6.1,2408,1730,4477,7755,7989,4690,2443,1376,784,1079,6.1,5.8,6.3,6.1,5.8,34731,20,8573,20003,4242
Hobo with a Shotgun,2011,males,6.1,3046,2100,5191,7974,7216,4270,2539,1684,1284,1760,6.1,2.0,6.3,6.2,5.6,37064,1,4714,24712,6548
Insidious: Chapter 3,2015,males,6.0,2831,1751,5386,12872,16282,9161,3743,1790,878,1125,6.0,6.4,6.1,6.0,5.9,55819,53,16304,28454,6171
The Collection,2012,males,6.1,2262,1358,3507,7028,8175,4608,2270,1220,726,820,6.1,6.2,6.2,6.0,5.9,31974,17,6295,19220,4572
Maniac,2012,males,6.1,1183,1219,3630,5844,5895,3448,1862,1016,652,807,6.1,5.5,6.4,6.2,5.9,25556,2,3824,15965,4525
Don't Breathe 2,2021,males,6.0,741,524,1750,4712,6597,3292,1379,568,275,311,6.0,6.1,6.0,6.0,6.1,20149,34,4765,10506,2884
Blood Red Sky,2021,males,6.0,705,641,2288,5757,6192,3425,1581,771,447,566,6.0,5.9,6.1,6.0,6.1,22373,30,3285,11773,5118
Crawl,2019,males,6.1,1418,1249,4826,12224,13209,6623,2973,1501,839,901,6.1,5.8,6.2,6.1,6.2,45763,58,9111,24439,8009
The Lodge,2019,males,6.0,548,662,2537,5361,5906,3280,1674,877,518,829,6.0,6.1,6.3,6.0,5.9,22192,14,4122,12397,3916
Brightburn,2019,males,6.1,1854,1746,6185,14190,15204,8112,3789,1742,969,1194,6.1,5.8,5.9,6.2,6.3,54985,57,10293,29363,9831
The Toxic Avenger,1984,males,6.2,2026,1051,2683,3934,4143,2573,1418,940,561,662,6.2,6.3,6.6,6.3,5.8,19991,3,1914,12445,4956
The Amityville Horror,1979,males,6.2,1292,859,2785,5624,6555,3543,1675,826,383,401,6.2,6.0,6.2,6.2,6.2,23943,6,2313,12783,8039
Wolf,1994,males,6.2,1410,1099,4117,9239,10795,5459,2240,912,372,426,6.2,7.5,6.3,6.3,6.1,36069,4,1825,21389,11771
House,1985,males,6.2,1181,618,2096,4201,4724,2495,1124,580,301,280,6.2,7.0,6.2,6.1,6.3,17600,2,1023,9811,6099
Scream 2,1997,males,6.2,6097,4202,10986,23090,30515,15638,6530,2840,1613,1883,6.2,7.0,6.5,6.1,6.1,103394,73,15323,67175,16357
Alien: Resurrection,1997,males,6.2,7064,6233,18841,41759,44045,22355,10853,5197,2775,3036,6.2,5.3,5.9,6.2,6.4,162158,55,17726,99763,36338
