Name,Year,Rate,Genre,Country
BloodRayne,2005,2.9,"Action,Fantasy,Horror",Germany
Laxmii,2020,2.4,"Action,Comedy,Horror",India
Slender Man,2018,3.2,"Horror,Mystery,Thriller",United States
Jaws: The Revenge,1987,3.0,"Adventure,Horror,Thriller",United States
The Mummy: Tomb of the Dragon Emperor,2008,5.2,"Action,Fantasy,Horror,War",United States
The Open House,2018,3.2,"Horror,Thriller",Canada
Piranha 3DD,2012,3.7,"Comedy,Horror,Sci-Fi,Thriller",Japan
Vampires Suck,2010,3.4,"Comedy,Horror",United States
Jaws 3-D,1983,3.7,"Adventure,Horror,Thriller",United States
Human Centipede 2: Tom Six Discusses the Story Concept,2011,3.8,Horror,Netherlands
Plan 9 from Outer Space,1957,4.0,"Horror,Sci-Fi",United States
The Wicker Man,2006,3.7,"Horror,Mystery,Thriller",United States
The Fog,2005,3.7,"Horror,Mystery",United States
Prom Night,2008,3.9,"Horror,Mystery",United States
I Know Who Killed Me,2007,3.6,"Horror,Mystery,Thriller",United States
Shark Night,2011,4.0,"Horror,Thriller",United States
Halloween: Resurrection,2002,4.0,"Horror,Thriller",United States
The Devil Inside,2012,4.2,Horror,United States
Book of Shadows: Blair Witch 2,2000,4.0,"Adventure,Fantasy,Horror,Mystery,Thriller",United States
One Missed Call,2008,4.0,"Horror,Mystery",United States
Boogeyman,2005,4.2,"Drama,Horror,Mystery,Thriller",United States
Species II,1998,4.4,"Action,Horror,Sci-Fi,Thriller",United States
Cell,2016,4.4,"Action,Adventure,Horror,Sci-Fi,Thriller",United States
Jason Goes to Hell: The Final Friday,1993,4.2,"Fantasy,Horror,Thriller",United States
Death Note,2017,4.4,"Crime,Drama,Fantasy,Horror,Thriller",United States
The Human Centipede (First Sequence),2009,4.4,Horror,Netherlands
Halloween: The Curse of Michael Myers,1995,4.8,"Horror,Thriller",United States
Anaconda,1997,4.8,"Action,Adventure,Horror,Thriller",Peru
Pulse,2006,4.8,"Horror,Sci-Fi,Thriller",United States
Jason X,2001,4.4,"Action,Horror,Sci-Fi,Thriller",Canada
The Unborn,2009,4.8,"Horror,Mystery,Thriller",United States
Seed of Chucky,2004,4.8,"Comedy,Horror,Thriller",United States
Godsend,2004,4.8,"Drama,Fantasy,Horror,Sci-Fi,Thriller",Canada
Texas Chainsaw,2013,4.8,"Horror,Thriller",United States
Meet the Blacks,2016,4.8,"Comedy,Horror",United States
Halloween II,2009,4.8,Horror,United States
Fantasy Island,2020,4.9,"Action,Adventure,Fantasy,Horror,Mystery,Thriller",United States
Ghosts of Mars,2001,4.9,"Action,Horror,Sci-Fi",United States
The Forest,2016,4.8,"Horror,Mystery,Thriller",United States
The Woman in Black 2: Angel of Death,2014,4.8,"Drama,Horror,Thriller",United Kingdom
Dracula 2000,2000,4.9,"Action,Fantasy,Horror,Thriller",United States
Freddy's Dead: The Final Nightmare,1991,4.9,"Fantasy,Horror",United States
Poltergeist,2015,4.9,"Horror,Thriller",United States
Vanishing on 7th Street,2010,4.9,"Horror,Mystery,Thriller",United States
Valentine,2001,4.9,"Horror,Mystery,Thriller",Canada
Halloween III: Season of the Witch,1982,5.0,"Horror,Mystery,Sci-Fi,Thriller",United States
The Happening,2008,5.0,"Adventure,Drama,Horror,Sci-Fi,Thriller",United States
The Haunting,1999,5.0,"Fantasy,Horror,Mystery,Thriller",United States
Darkness Falls,2003,5.0,"Fantasy,Horror,Mystery,Thriller",United States
Cursed,2005,5.0,"Comedy,Horror",Germany
Virus,1999,5.0,"Action,Horror,Sci-Fi,Thriller",United States
Silent Hill: Revelation,2012,5.0,"Horror,Mystery,Thriller",Canada
A Serbian Film,2010,5.0,"Horror,Mystery,Thriller",Serbia
A Haunted House,2013,5.0,"Comedy,Fantasy,Horror",United States
[REC] 3: Genesis,2012,5.0,"Horror,Thriller",Spain
A Nightmare on Elm Street 5: The Dream Child,1989,5.1,"Fantasy,Horror",United States
Paranormal Activity: The Marked Ones,2014,5.0,"Horror,Mystery",United States
Chernobyl Diaries,2012,5.0,"Horror,Mystery,Thriller",United States
