Name,Year,Rating,User_Type,vote10,vote9,vote8,vote7,vote6,vote5,vote4,vote3,vote2,vote1
Doom,2005,5.2,IMDb Users,5924,2361,6804,15056,23959,23763,14715,8872,5137,5009
Sorority Row,2009,5.2,IMDb Users,2145,735,1846,3650,5763,6631,4020,2376,1431,1595
The Mummy: Tomb of the Dragon Emperor,2008,5.2,IMDb Users,6598,2696,7733,19536,35989,38552,20905,11598,6354,6633
The Final Destination,2009,5.2,IMDb Users,5352,2131,5622,12417,21005,23874,13986,7957,4750,5009
Flatliners,2017,5.2,IMDb Users,1584,812,2462,6233,11227,10545,5625,3216,1930,1865
The Lazarus Effect,2015,5.2,IMDb Users,1473,720,2053,5326,9696,10491,6285,3355,1644,1460
Shutter,2008,5.2,IMDb Users,1736,710,2073,4286,7064,7491,4501,2496,1502,1771
The Lords of Salem,2012,5.2,IMDb Users,1772,937,2366,3926,4813,4963,3677,2589,1837,2558
Hellboy,2019,5.2,IMDb Users,3771,1935,5204,11801,18211,17610,10699,6933,4169,5061
The Strangers: Prey at Night,2018,5.2,IMDb Users,1445,667,1939,3964,6024,6034,3716,2424,1593,1981
Apollo 18,2011,5.2,IMDb Users,2193,1180,3564,7923,11909,10959,6971,4493,2844,3092
Friday the 13th Part VII: The New Blood,1988,5.3,IMDb Users,2734,945,2298,4610,7015,7880,4766,2723,1402,1389
Truth or Dare,2018,5.2,IMDb Users,2508,1175,3374,7364,11562,10612,6477,3995,2666,2829
The First Purge,2018,5.2,IMDb Users,2366,1089,3199,7968,14041,13759,7364,4017,2501,4670
The Stepford Wives,2004,5.3,IMDb Users,2327,1253,3736,9000,15081,14885,8455,4678,2526,2650
Queen of the Damned,2002,5.3,IMDb Users,6110,2243,4343,6979,8837,9177,6625,4308,2807,3376
Things Heard & Seen,2021,5.3,IMDb Users,727,456,1492,3869,6546,6665,3895,2004,1110,1197
The Witches,2020,5.3,IMDb Users,1667,730,2110,4946,8158,7460,3904,2239,1449,2653
The Covenant,2006,5.3,IMDb Users,5680,1766,3578,6165,8413,8645,5570,3477,2354,2921
The Green Inferno,2013,5.3,IMDb Users,1914,1012,2868,6428,9543,8256,4883,3093,1878,2573
Legion,2010,5.3,IMDb Users,5214,2467,6657,13871,21911,22042,13117,7748,4758,5321
Spiral,2021,5.3,IMDb Users,2023,928,2671,5712,9287,8557,4942,3091,1889,2433
Jennifer's Body,2009,5.3,IMDb Users,7720,3747,9378,18071,25586,25630,16143,9301,5659,6676
Tusk,2014,5.3,IMDb Users,2610,1416,4171,8057,10078,8070,5027,3494,2632,4594
The Resident,2011,5.3,IMDb Users,1098,461,1455,3551,6897,6736,3606,1782,1026,898
The New Mutants,2020,5.3,IMDb Users,2904,1333,3973,10024,16171,14755,8402,4602,2848,4500
Sinister 2,2015,5.3,IMDb Users,2269,1227,3245,7141,12463,11948,6611,3754,1947,1732
Friend Request,2016,5.3,IMDb Users,1404,587,1705,3585,5692,5325,2979,1821,1152,1366
The Curse of La Llorona,2019,5.3,IMDb Users,1981,853,2722,6347,10840,10629,6127,3387,1871,1819
The Bad Batch,2016,5.3,IMDb Users,1140,737,2071,4356,6217,5825,3599,2239,1486,1972
The Silence,2019,5.3,IMDb Users,1227,732,2442,6131,10555,9330,5095,3080,1918,2056
The Ring Two,2005,5.4,IMDb Users,4763,2229,5847,13191,22707,21730,11529,5761,3323,3314
The Nun,2018,5.3,IMDb Users,7984,3487,8808,18626,28817,26956,15914,9724,5689,6342
The Lawnmower Man,1992,5.4,IMDb Users,1348,838,2417,5324,8328,7648,4392,2432,1418,1244
House of Wax,2005,5.4,IMDb Users,7870,3355,8799,17802,25968,23795,14678,8353,4928,5427
Eight Legged Freaks,2002,5.4,IMDb Users,2225,1159,3875,9106,13195,11641,6881,3983,2034,2062
The Messengers,2007,5.4,IMDb Users,2316,820,2261,5372,9233,8972,4759,2662,1455,1535
Ghost Ship,2002,5.5,IMDb Users,4572,2654,7207,15964,23924,21153,11355,5920,3099,2519
Bride of Chucky,1998,5.5,IMDb Users,4625,1767,4391,8061,11412,11372,6667,3738,2208,2260
The Eye,2008,5.4,IMDb Users,2840,1224,3260,7521,12601,11800,6291,3360,1874,2171
White Noise,2005,5.5,IMDb Users,1779,1033,3110,7551,12224,10731,5590,3112,1716,1658
Dreamcatcher,2003,5.5,IMDb Users,4255,2863,7576,15484,20072,16558,9913,6203,3716,4542
All the Boys Love Mandy Lane,2006,5.5,IMDb Users,1519,827,2390,5365,7796,6305,3535,1935,1195,1526
Friday the 13th,2009,5.5,IMDb Users,7225,3334,8230,16304,23804,19441,10697,6442,3849,4625
Red Riding Hood,2011,5.5,IMDb Users,7435,3849,8733,16718,24160,21499,12383,7027,4226,4535
Hostel: Part II,2007,5.5,IMDb Users,5078,2665,6893,13754,19509,17099,9113,5304,3484,5592
The Omen,2006,5.5,IMDb Users,3039,1535,4082,9108,14714,11948,6139,3273,1805,2699
The Last Days on Mars,2013,5.5,IMDb Users,1048,642,2075,5904,10110,8529,4170,1991,1017,1106
Winchester,2018,5.5,IMDb Users,1347,727,2278,5285,8085,7266,3760,2078,1190,958
The Cloverfield Paradox,2018,5.5,IMDb Users,3106,2239,7284,17893,25855,19589,11066,6489,3986,3684
The Dead Don't Die,2019,5.5,IMDb Users,2328,1827,5549,11755,15785,13923,7946,5016,3574,4603
The Innkeepers,2011,5.5,IMDb Users,1380,1076,3094,5507,6752,5957,3874,2480,1811,2142
Peninsula,2020,5.5,IMDb Users,1410,665,1792,4547,7338,6194,3200,1892,1009,1250
Resident Evil: The Final Chapter,2016,5.5,IMDb Users,6408,2722,6817,14419,21145,16587,8431,5076,3472,4664
Vampire Academy,2014,5.5,IMDb Users,8059,2570,4757,7584,9400,7837,4952,3172,2242,3049
Children of the Corn,1984,5.6,IMDb Users,2649,1296,3694,8517,13075,10453,5522,2799,1478,1281
Scream 3,2000,5.6,IMDb Users,8180,3459,9160,20101,33066,30023,13976,6646,3300,3408
Village of the Damned,1995,5.6,IMDb Users,1371,653,1966,5155,8528,7056,3234,1552,711,733
Urban Legend,1998,5.6,IMDb Users,3459,1696,4634,10075,16124,14022,7155,3578,1952,1715
Unfriended,2014,5.5,IMDb Users,3388,1923,5906,12794,17159,12566,6926,4443,3372,4732
Thir13en Ghosts,2001,5.6,IMDb Users,4749,2856,7438,14353,19510,15919,8953,5345,3049,2883
House on Haunted Hill,1999,5.6,IMDb Users,3305,1851,4775,9390,12620,10664,5956,3406,2031,1802
Jeepers Creepers 2,2003,5.6,IMDb Users,3949,1797,4798,9985,14956,12436,6693,3711,2096,2125
The Texas Chainsaw Massacre 2,1986,5.6,IMDb Users,2722,1342,3087,4691,5668,4907,3165,2047,1477,1634
