Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
Abraham Lincoln: Vampire Hunter,2012,5.9,6.3,6.2,5.8,5.9,153380,13,25859,76764,20354
The Tall Man,2012,5.9,6.3,5.9,5.9,6,40341,3,4096,21433,7493
The Prodigy,2019,5.9,6.3,5.9,5.8,5.9,25494,21,3796,9649,3448
Underwater,2020,5.9,5.8,5.9,5.8,5.7,74514,45,8761,29044,10642
Carrie,2013,5.9,5.6,5.9,5.8,5.9,137558,46,30072,59768,13912
The Void,2016,5.9,5.2,6,5.9,5.6,34253,8,4486,14817,4804
The Last House on the Left,1972,6,5.1,6.1,6,5.8,36224,12,3125,17581,7444
Cam,2018,5.9,5.6,6,5.9,5.7,30049,37,6327,10769,2581
Candyman,2021,5.9,6.5,6.2,5.9,5.5,45054,37,6464,15251,4033
Victor Frankenstein,2015,6,5.7,6.1,5.9,6,55415,16,9312,23026,7155
Friday the 13th: The Final Chapter,1984,6,6.7,6,6,5.8,49882,61,5615,21478,7972
The Amityville Horror,2005,6,6.3,6.1,6,5.7,109941,27,14995,55558,12191
Friday the 13th Part VI: Jason Lives,1986,6,7.3,6.1,6,5.7,42976,65,4727,18800,6813
Annabelle Comes Home,2019,5.9,5.9,5.9,5.9,5.9,69331,138,13337,21524,5423
Hide and Seek,2005,6,6,6.4,5.9,5.8,84141,6,9924,45901,11378
Mimic,1997,6,6.3,5.9,5.9,6,48855,3,2300,23714,11504
The Rite,2011,6,6.4,6.1,6,5.9,95274,6,13492,52612,13014
The Midnight Meat Train,2008,6,5.4,5.9,6.1,6.1,63249,10,6847,35414,9252
Cujo,1983,6.1,5.8,6,6,6.1,43819,18,3682,18538,10441
Critters,1986,6.1,5.6,6.1,6.1,5.9,34582,7,1595,18043,7352
Deep Rising,1998,6.1,6.7,6.2,6,6,35971,3,1670,17617,8265
House of 1000 Corpses,2003,6.1,6.1,6.1,6,5.9,83011,22,7594,43242,11463
Halloween,2007,6.1,5.7,6,6.1,6,116640,51,14269,60098,15087
Mirrors,2008,6.1,6.6,6.3,6.1,6,105453,19,17029,56877,12053
Wrong Turn,2003,6.1,6.3,6,6,6.2,116102,41,16299,58193,13466
Vampires,1998,6.1,6.6,6.2,6.1,6.1,56820,5,2670,27890,12701
