Movie,Year,Rate_All Ages,Rate_<18,Rate_18-29,Rate_30-44,Rate_45+,Number_All Ages,Number_<18,Number_18-29,Number_30-44,Number_45+
Solomon Kane,2009,6.1,6.2,6.1,6,6.2,72245,4,8599,39559,11754
Splinter,2008,6.1,4,6,6,6.2,36096,9,3976,19066,6321
The Belko Experiment,2016,6.1,5.7,6.1,6.1,6.2,48701,25,8600,19291,5329
Bug,2006,6.1,4.5,6.3,6.1,6,34567,4,2033,18365,7998
Hansel & Gretel: Witch Hunters,2013,6.1,6.2,6.2,6,6.1,201723,35,36645,90463,23634
6 Souls,2010,6.1,6,6.3,6.1,6,34040,2,3595,18392,6131
Grave Encounters,2011,6.1,5.9,6.3,6.1,5.9,55998,31,11889,25660,5374
Hobo with a Shotgun,2011,6.1,4.5,6.3,6.2,5.6,45446,2,5155,26570,7064
The Collection,2012,6.1,6.4,6.3,6,6,48243,25,8344,23534,5533
Insidious: Chapter 3,2015,6.1,6.5,6.1,6,6,100608,77,22323,35999,7711
Maniac,2012,6.1,5.5,6.3,6.1,5.8,36737,2,5039,19336,5228
Don't Breathe 2,2021,6.1,6,6,6,6.1,37706,48,5845,12041,3336
Blood Red Sky,2021,6.1,5.3,6.1,6,6.2,41540,50,4501,14200,6123
The Lodge,2019,6.1,6.2,6.2,6,5.9,41048,26,5711,15785,4899
The Amityville Horror,1979,6.2,6.4,6.2,6.2,6.2,38176,10,3157,16017,9677
Brightburn,2019,6.1,5.8,5.9,6.1,6.3,91093,70,12783,34356,11404
Wolf,1994,6.2,7.4,6.4,6.3,6.1,55051,5,2425,25952,14080
House,1985,6.2,6.3,6.2,6.1,6.3,25712,3,1253,11375,7058
The Toxic Avenger,1984,6.2,6,6.6,6.3,5.8,27827,4,2146,13838,5634
Crawl,2019,6.1,5.8,6.2,6.1,6.2,79320,74,11777,28870,9364
Killer Klowns from Outer Space,1988,6.2,6.9,6.3,6.2,5.9,36076,20,3546,16726,6220
Idle Hands,1999,6.2,6.7,6.4,6.3,5.9,42308,7,2252,24911,5506
Stigmata,1999,6.2,6,6.1,6.2,6.1,67125,2,2308,35034,13647
Alien: Resurrection,1997,6.2,5.4,5.9,6.3,6.4,239722,68,20519,111880,41251
Scream 2,1997,6.2,7,6.5,6.1,6.1,168485,112,20448,82893,19285
Jeepers Creepers,2001,6.2,6.7,6.3,6.1,6.3,121111,46,13648,59827,16704
Final Destination 2,2003,6.2,6.4,6.2,6.2,6.3,160571,81,26116,80142,15615
The Texas Chainsaw Massacre,2003,6.2,6.3,6.2,6.2,6.1,136715,57,17678,72398,14536
Resident Evil: Apocalypse,2004,6.2,6.1,6.4,6.1,6.2,193571,33,26468,102431,21108
Wolf Creek,2005,6.2,5.7,6.1,6.2,6.4,70851,16,6867,37163,11929
Deliver Us from Evil,2014,6.2,6.1,6.3,6.2,6.2,74962,6,12118,34672,9831
Land of the Dead,2005,6.2,5.3,6.1,6.1,6.3,95090,10,7603,52838,14922
Krampus,2015,6.2,6,6.2,6.2,6.1,68997,33,11346,28556,7881
"As Above, So Below",2014,6.2,6.6,6.4,6.2,5.9,87210,47,16557,35355,8953
Ouija: Origin of Evil,2016,6.2,6,6.2,6.1,6.2,59781,42,10821,22792,6433
Scary Stories to Tell in the Dark,2019,6.2,6.4,6.2,6.1,6.2,70634,69,12355,24587,6898
Colossal,2016,6.2,6.2,6.4,6.2,6.2,62827,15,8858,27394,9216
Before I Wake,2016,6.2,5.8,6.3,6.1,6.1,44310,30,7614,17725,4918
Fear Street: Part One - 1994,2021,6.2,6.6,6.2,6.2,6.1,69911,179,9848,22483,5893
Color Out of Space,2019,6.2,5.5,6.3,6.2,5.9,42797,19,4976,17349,6313
It Comes at Night,2017,6.2,7.1,6.6,6.1,5.9,89926,39,16349,35336,9189
Verónica,2017,6.2,6.4,6.2,6.2,6.2,39347,39,7493,15045,3716
Happy Death Day 2U,2019,6.2,6.1,6.2,6.1,6.3,68410,121,12783,23868,6304
The Perfection,2018,6.2,5.2,6.2,6.1,6.2,40393,23,6344,15145,4865
Synchronic,2019,6.2,6.5,6.4,6.2,6.1,25877,11,2351,10078,4573
The Hills Have Eyes,1977,6.3,6,6.3,6.3,6.3,33378,22,3450,15270,6622
Predator 2,1990,6.3,5.6,6.1,6.3,6.2,155463,42,13203,75846,24466
Damien: Omen II,1978,6.3,5.5,6.1,6.2,6.4,31273,5,1796,12536,9185
Sleepaway Camp,1983,6.3,7,6.4,6.3,6,30683,32,3542,14065,4740
Dracula Untold,2014,6.3,6.1,6.3,6.2,6.4,188488,26,35677,80995,19049
The Uninvited,2009,6.3,7.4,6.6,6.3,6.2,78933,8,14058,39948,9185
Goosebumps,2015,6.3,6.1,6.4,6.2,6.3,85869,88,15029,34503,9153
Paranormal Activity,2007,6.3,6.1,6.1,6.4,6.2,231014,92,40665,119527,22809
Feast,2005,6.3,6.3,6.1,6.3,6.3,31116,3,2117,17406,5968
#Alive,2020,6.3,6.8,6.3,6.2,6.3,34087,67,5585,11329,2949
1922,2017,6.3,6.5,6.3,6.2,6.2,59322,31,9688,22244,7215
I Spit on Your Grave,2010,6.3,4.8,6.2,6.3,6.3,81290,23,13520,39183,10146
Underworld: Awakening,2012,6.3,5.8,6.5,6.3,6.4,151163,12,22113,79141,19362
Dead Snow,2009,6.3,6.3,6.2,6.3,6.3,66114,12,8872,36444,9566
Scouts Guide to the Zombie Apocalypse,2015,6.3,6.1,6.3,6.3,6.3,49115,22,7821,21018,6352
Dark Skies,2013,6.3,5.9,6.4,6.3,6.3,74007,9,10346,35995,11587
13 Sins,2014,6.3,6.8,6.5,6.2,6.3,35554,4,5712,16630,5007
Malignant,2021,6.3,6.9,6.4,6.2,6.1,65961,74,9822,20990,5916
The Visit,2015,6.3,5.4,6.3,6.3,6.1,124308,67,20883,50292,14382
Cargo,2017,6.3,5.7,6.3,6.3,6.4,41471,19,5903,16406,5641
The People Under the Stairs,1991,6.4,7,6.7,6.5,6.2,33837,8,2241,17125,6640
Screamers,1995,6.4,4,6.2,6.4,6.2,26495,1,789,13770,6191
The Cell,2000,6.4,8.3,6.4,6.4,6.3,100426,4,4478,52510,20046
The Craft,1996,6.4,6.7,6.6,6.3,6.3,88044,35,7733,42206,13836
Mary Shelley's Frankenstein,1994,6.4,6.7,6.3,6.5,6.2,53889,3,3629,25144,12332
Session 9,2001,6.4,6.7,6.2,6.4,6.5,57317,5,5470,30370,9674
Mindhunters,2004,6.4,6.6,6.7,6.4,6.1,59832,9,4603,34126,9215
Daybreakers,2009,6.4,6.3,6.5,6.4,6.4,126341,6,14064,73647,18120
Night Watch,2004,6.4,6.3,6.3,6.4,6.6,53414,3,2621,31591,9822
The Mothman Prophecies,2002,6.4,8.3,6.4,6.4,6.5,78974,4,4553,39898,16721
The Hills Have Eyes,2006,6.4,6.5,6.4,6.4,6.3,165911,34,22951,87792,17387
Them,2006,6.4,5.8,6.3,6.4,6.5,30080,4,2806,16698,5354
The House of the Devil,2009,6.4,7.1,6.4,6.4,6.2,43642,7,4916,23365,6620
Black Death,2010,6.4,6.7,6.5,6.4,6.3,46972,3,4503,25252,9272
The Collector,2009,6.4,6.6,6.5,6.4,6.3,62903,28,10271,31015,7430
Freaky,2020,6.4,7,6.5,6.3,6.3,48211,83,7151,17360,5474
Fright Night,2011,6.4,6.2,6.6,6.3,6.3,103686,7,15581,56124,14879
Under the Skin,2013,6.4,8.3,6.8,6.2,6,137474,49,22503,59867,20017
The Voices,2014,6.4,6.3,6.6,6.3,6.1,56401,8,9348,25993,7054
The Woman in Black,2012,6.4,6.2,6.5,6.3,6.4,179566,34,37075,81071,20428
John Dies at the End,2012,6.4,5,6.5,6.4,6.3,37590,2,3929,20460,6787
Kill List,2011,6.4,4.8,6.7,6.3,6.2,39353,4,4486,19765,7486
Creep,2014,6.4,6.7,6.5,6.3,6,49622,58,9345,18750,4603
The Purge: Anarchy,2014,6.4,6.5,6.6,6.4,6.3,147494,91,31503,58694,12438
The Babysitter,2017,6.4,6.1,6.2,6.4,6.5,85048,146,16024,29569,7148
Alien: Covenant,2017,6.4,6.4,6.5,6.4,6.4,269117,87,37427,110243,33676
Tale of Tales,2015,6.4,7.3,6.7,6.4,6.3,27770,3,3574,12306,4822
Ghost Stories,2017,6.4,6.5,6.6,6.3,6.2,33559,13,4728,13664,5006
Incident in a Ghostland,2018,6.4,6.3,6.6,6.4,6.3,28231,11,4049,10941,3752
A Cure for Wellness,2016,6.4,6.9,6.6,6.3,6.3,92967,24,16923,35771,10376
Revenge,2017,6.4,5.5,6.7,6.3,6.1,40971,19,5611,16589,6177
Escape Room,2019,6.4,6.8,6.4,6.3,6.3,110391,176,20048,38351,9656
Unsane,2018,6.4,6.5,6.5,6.4,6.4,44496,21,6837,17562,6290
Halloween II,1981,6.5,6.4,6.5,6.5,6.5,85511,92,10041,35883,13734
Psycho II,1983,6.5,7.5,6.8,6.5,6.3,26382,15,2446,10851,6384
Twilight Zone: The Movie,1983,6.5,5.5,6.5,6.5,6.5,36806,5,1915,14314,11656
The Skeleton Key,2005,6.5,6.3,6.6,6.5,6.5,111049,12,11987,60111,15905
The Crazies,2010,6.5,6.8,6.5,6.5,6.6,116892,19,15341,63219,16429
Day Watch,2006,6.5,7,6.3,6.5,6.5,34077,1,1957,20562,6197
Bad Taste,1987,6.5,6.5,6.5,6.6,6.5,46032,7,3293,23711,8351
Tideland,2005,6.5,6.1,6.4,6.5,6.3,32902,6,2194,18703,6089
Severance,2006,6.5,5.5,6.4,6.5,6.5,38145,2,2374,21594,7445
Slither,2006,6.5,6.7,6.3,6.5,6.6,79573,21,7715,42916,12830
Host,2020,6.5,5.6,6.6,6.5,6.4,25415,41,3913,9413,2662
Resident Evil: Degeneration,2008,6.5,7,6.6,6.5,6.2,30700,3,3629,18321,3146
Drag Me to Hell,2009,6.5,6.6,6.4,6.6,6.6,196324,42,27858,106486,23605
The Last House on the Left,2009,6.5,7.2,6.6,6.5,6.5,90028,22,12626,47580,11491
[Rec]²,2009,6.5,6.5,6.6,6.5,6.5,71507,23,11968,38066,7315
Stake Land,2010,6.5,7,6.6,6.4,6.5,41919,2,3891,22974,8443
Evil Dead,2013,6.5,6.4,6.6,6.5,6.2,164892,66,29451,77010,17373
Byzantium,2012,6.5,6.2,6.8,6.5,6.6,42897,4,4877,21310,8714
The Awakening,2011,6.5,6.8,6.6,6.4,6.6,65556,4,8175,32267,10342
Crimson Peak,2015,6.5,6.8,6.7,6.5,6.5,141365,42,25200,60447,15936
Time Lapse,2014,6.5,6.9,6.8,6.5,6.4,44287,9,6078,20702,7025
The Endless,2017,6.5,6.6,6.6,6.5,6.3,39330,8,4617,16697,6182
Oculus,2013,6.5,6.8,6.7,6.5,6.4,123963,37,24746,52936,12635
Better Watch Out,2016,6.5,6.3,6.6,6.5,6.4,35549,33,5438,14594,4348
Gerald's Game,2017,6.5,6.3,6.7,6.5,6.4,101314,67,19051,38060,9517
The Night House,2020,6.5,6.8,6.7,6.4,6.3,27627,21,3888,10059,3123
Possessor,2020,6.5,7,6.8,6.5,6.2,29816,29,4177,11923,3943
Annabelle: Creation,2017,6.5,6.7,6.6,6.4,6.3,125616,186,26797,40075,8837
The Hunt,2020,6.5,5.8,6.4,6.5,6.7,93987,81,12007,34510,12759
It Chapter Two,2019,6.5,6.6,6.5,6.4,6.4,238579,363,44213,74602,18489
His House,2020,6.5,5.9,6.6,6.4,6.3,36260,32,5810,13511,3513
The Howling,1981,6.6,7.8,6.6,6.5,6.7,34041,4,2035,13934,9804
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,7.3,6.7,6.6,6.4,77590,86,8450,34839,12282
The Witches of Eastwick,1987,6.6,8.1,6.6,6.5,6.6,67203,6,3823,27084,18735
The Blob,1988,6.6,7.2,6.8,6.6,6.3,35719,9,2628,16262,8168
Pontypool,2008,6.6,7,6.6,6.6,6.6,31144,3,2809,16702,5917
Child's Play,1988,6.6,7.1,6.6,6.6,6.4,96888,121,13182,45376,11858
Pet Sematary,1989,6.6,5.9,6.5,6.6,6.5,99988,40,9820,46691,17659
Flatliners,1990,6.6,7.4,6.5,6.6,6.6,84475,8,3866,36877,23723
Death Becomes Her,1992,6.6,6.1,6.8,6.6,6.3,113298,18,9222,55012,21068
May,2002,6.6,6.8,6.8,6.6,6.6,36161,7,3180,18646,6532
Antichrist,2009,6.6,6.6,6.7,6.6,6.3,122511,27,18590,63460,13903
30 Days of Night,2007,6.6,6.4,6.5,6.5,6.7,172132,19,17313,95311,24641
Saw II,2005,6.6,7,6.7,6.5,6.3,244511,136,38810,128115,20112
Mother!,2017,6.6,6.9,7.1,6.5,5.9,209679,108,40097,75825,19510
What Lies Beneath,2000,6.6,6.6,6.6,6.6,6.6,122758,17,6582,61097,24888
Fear Street: Part Three - 1666,2021,6.6,7.1,6.7,6.5,6.5,44290,135,6634,14374,3616
Life,2017,6.6,6.9,6.7,6.5,6.5,219950,66,33998,89279,25623
Mandy,2018,6.6,7.5,6.9,6.5,5.9,72459,32,11250,28943,8340
Happy Death Day,2017,6.6,6.6,6.6,6.5,6.6,131019,194,26171,44230,11605
Phantasm,1979,6.7,6.8,6.7,6.6,6.8,35467,9,2227,15217,9240
Return to Oz,1985,6.7,5.1,6.5,6.9,6.3,26367,5,2092,14309,3806
From Beyond,1986,6.7,6.5,6.8,6.7,6.7,25028,4,1927,11600,5648
Christine,1983,6.7,6.8,6.8,6.7,6.7,78662,28,6251,32426,19439
Candyman,1992,6.7,6.8,6.8,6.6,6.5,86171,54,8633,39989,14090
Prince of Darkness,1987,6.7,6.7,6.7,6.7,6.7,41404,7,2894,17942,10034
Resident Evil,2002,6.7,6.6,6.7,6.7,6.7,260134,46,33790,134463,29040
Cronos,1993,6.7,6.8,6.9,6.7,6.7,29079,4,2902,14476,5652
Final Destination,2000,6.7,6.9,6.6,6.7,6.7,243381,122,36974,119803,25060
Blade II,2002,6.7,6.8,6.7,6.6,6.6,209809,33,23032,108012,26461
The Gift,2000,6.7,5.8,6.6,6.6,6.8,66792,5,3085,30726,15901
Event Horizon,1997,6.7,6.9,6.4,6.8,6.5,170561,29,12439,86765,29284
Ju-on: The Grudge,2002,6.7,6.5,6.6,6.7,6.8,43384,9,6010,21805,5836
Dark Water,2002,6.7,8,6.6,6.7,6.8,31633,2,3052,16370,5339
Fido,2006,6.7,4,6.6,6.7,6.8,28915,1,2026,16696,5536
The Eye,2002,6.7,7,6.5,6.6,6.8,28756,2,2244,15401,5198
Inside,2007,6.7,6.1,6.6,6.8,6.8,39644,13,4556,21599,5497
Pandorum,2009,6.7,5.5,6.7,6.8,6.6,148313,6,13815,84804,22943
Rare Exports,2010,6.7,6.8,6.6,6.6,6.8,28049,4,2599,15719,5218
The Exorcism of Emily Rose,2005,6.7,6.8,6.7,6.7,6.7,125626,31,17768,64720,15078
Zombieland: Double Tap,2019,6.7,7,6.7,6.6,6.7,164976,176,28703,58403,15996
The Call,2013,6.7,6.9,7,6.6,6.6,118063,28,20060,53299,14905
Los ojos de Julia,2010,6.7,8,6.9,6.7,6.5,34558,5,5135,17596,4450
Suspiria,2018,6.7,7,7.2,6.6,6.1,70696,54,12954,25149,7288
Hotel Transylvania 2,2015,6.7,6.3,6.8,6.6,6.6,117876,205,24512,41387,8951
Goodnight Mommy,2014,6.7,6.9,6.9,6.6,6.6,49267,27,10067,19976,4915
Spring,2014,6.7,5,7,6.7,6.5,27052,2,3200,13082,4478
Summer of 84,2018,6.7,6.5,6.8,6.7,6.5,38138,18,5051,16293,4553
Turbo Kid,2015,6.7,7,6.8,6.7,6.3,27543,5,3394,14053,3646
Fear Street: Part Two - 1978,2021,6.7,7.2,6.8,6.6,6.6,54110,153,7869,17493,4505
Saint Maud,2019,6.7,7.2,6.9,6.7,6.5,28496,33,4461,10296,3583
Marrowbone,2017,6.7,7,7,6.6,6.5,29121,16,4479,11103,3801
The Brood,1979,6.8,6.9,7,6.9,6.7,28533,9,2553,13205,6145
House on Haunted Hill,1959,6.8,6.9,6.9,6.8,6.8,26188,9,2575,10657,6415
Zombie,1979,6.8,6.8,6.9,6.8,6.7,27111,4,2008,13215,5691
Insidious,2010,6.8,7.3,6.9,6.8,6.6,295426,164,63280,123053,24843
Eden Lake,2008,6.8,6.8,6.8,6.8,6.7,81769,20,11113,42503,10738
Stonehearst Asylum,2014,6.8,6.7,7.1,6.7,6.7,54894,6,8077,25574,7937
Warm Bodies,2013,6.8,6.7,7,6.8,6.8,226575,44,50698,99989,20366
Odd Thomas,2013,6.8,7.5,7,6.8,6.9,51259,4,4932,23569,10669
The Babadook,2014,6.8,6.7,6.9,6.7,6.7,211342,93,42400,82733,19309
Sinister,2012,6.8,7,6.9,6.7,6.6,237359,121,49261,95094,20759
Annihilation,2018,6.8,6.8,7.1,6.8,6.5,303057,119,51606,115352,30699
The Autopsy of Jane Doe,2016,6.8,6.8,6.8,6.8,6.7,109246,57,18413,42039,12239
It Follows,2014,6.8,6.8,6.9,6.8,6.6,226725,107,43685,90698,20799
Housebound,2014,6.8,6.3,6.8,6.7,6.8,33574,5,4578,16653,5087
The House That Jack Built,2018,6.8,7.1,7.1,6.7,6.3,68395,45,12482,24800,7119
Us,2019,6.8,7.1,7.1,6.7,6.5,263672,275,50582,85116,21042
Shin Godzilla,2016,6.8,7.8,7.1,6.7,6.4,26450,19,3966,9563,3372
I See You,2019,6.8,6.6,6.9,6.8,6.7,44434,28,5379,16175,6618
Altered States,1980,6.9,8.5,7.1,6.8,6.9,34087,2,2577,13758,9903
Creepshow,1982,6.9,7.2,7,6.8,6.8,45817,17,3632,19322,10805
28 Weeks Later,2007,6.9,6.6,7,7,6.9,268565,46,33151,144571,33190
The Witches,1990,6.9,6.5,6.7,6.9,6.7,48071,17,4932,23488,5910
Night of the Living Dead,1990,6.9,7,6.8,6.9,6.8,41140,9,3168,20935,7804
Frankenweenie,2012,6.9,7,7.1,6.9,7,103807,77,18721,48146,11349
The Witch,2015,6.9,7.4,7.2,6.8,6.6,229383,145,42644,82781,20680
Shadow of the Vampire,2000,6.9,7.5,6.9,6.9,6.9,41291,2,2140,19378,10045
Hocus Pocus,1993,6.9,6.8,6.9,6.9,6.4,118569,66,15710,52610,11618
Under the Shadow,2016,6.9,6.2,7,6.8,6.8,26578,8,4263,11849,3177
Hellraiser,1987,7,7.1,6.9,7,7.1,114518,68,12528,52622,19393
Ready or Not,2019,6.9,7.3,6.9,6.8,6.7,132784,131,22525,46329,12827
Creature from the Black Lagoon,1954,7,6.3,7.1,6.9,7,29147,13,2967,10231,8185
The Monster Squad,1987,7,7.1,6.8,7.1,6.7,31538,7,1995,16543,5328
Cloverfield,2008,7,7,6.9,7,6.8,386248,87,48404,205876,46203
Near Dark,1987,7,6.7,7,6.9,7.1,37076,7,2296,16887,9492
Henry: Portrait of a Serial Killer,1986,7,7.5,7.1,6.9,7.1,34747,16,3250,15758,7459
Brotherhood of the Wolf,2001,7,7.5,6.8,7,7.1,65183,4,2699,33418,13439
Ravenous,1999,7,8.3,6.9,7,6.9,38785,3,1832,19614,8428
Stir of Echoes,1999,7,6.3,6.9,7,7,79561,9,3966,40445,16964
Constantine,2005,7,6.8,7.1,7,6.8,326658,68,40353,167587,36846
Hellboy II: The Golden Army,2008,7,7.2,7,7,7,264284,50,37248,136517,32671
Bubba Ho-Tep,2002,7,8,6.8,7,7,47534,3,2010,24488,10402
The Platform,2019,7,7.1,7.1,6.9,6.7,196240,276,38241,63346,11993
Climax,2018,7,7.9,7.5,6.8,6.1,61875,55,14184,19804,4639
Ichi the Killer,2001,7,7.9,7.1,7,6.9,54702,11,4995,30769,7237
The Thing from Another World,1951,7.1,7.6,6.9,6.9,7.4,28921,6,1797,10049,10268
Fright Night,1985,7.1,7.4,7.1,7,7.2,66828,20,5667,28432,15776
Day of the Dead,1985,7.1,7.4,7.3,7.2,6.9,67036,17,5381,33386,12125
Tremors,1990,7.1,7.1,7.1,7.1,7.1,131506,42,11483,63597,22993
The Mummy,1932,7.1,7.4,6.9,6.9,7.3,25720,13,2564,9440,7227
Blade,1998,7.1,7.1,7,7.1,7.1,260398,54,29110,130761,33449
The Frighteners,1996,7.1,7.2,7,7.1,7.1,86053,11,4970,44260,17113
Little Shop of Horrors,1986,7.1,7.8,7.4,7,6.8,72166,28,6149,29889,15777
The Ring,2002,7.1,6.9,7,7.1,7.1,336544,129,49236,160112,36351
Shutter,2004,7.1,6.4,7.1,7.1,6.8,43593,11,6871,23571,4632
The Host,2006,7.1,7.2,7.2,7,6.9,116171,44,15670,55376,15675
Pitch Black,2000,7.1,6.8,7,7.1,7.1,233205,17,20825,122961,37458
Hotel Transylvania,2012,7.1,7,7.2,7,6.9,240399,259,52162,95202,19410
Thirst,2009,7.1,8.3,7.4,7.1,6.9,45269,14,5511,24797,5832
The Mist,2007,7.1,7.4,7.1,7.1,7,294403,78,41266,152015,34947
Bhoot Police,2021,7.1,8,5.9,5.6,5,25232,18,1042,1389,125
Martyrs,2008,7.1,7,7.2,7,7,89319,33,13506,44867,10143
The Call,2020,7.1,7.1,7.2,7,6.9,26935,50,4958,8010,1766
Bone Tomahawk,2015,7.1,7.7,7.3,7.1,7,94965,27,11806,40579,15252
Let Me In,2010,7.1,7.3,7.1,7.1,7.2,117652,17,17967,59888,17361
The Invisible Man,2020,7.1,7.3,7.2,7,6.9,201132,174,32671,67659,21017
Don't Breathe,2016,7.1,7.1,7.2,7,7,257012,207,52067,87678,19656
Midsommar,2019,7.1,7.5,7.3,7,6.7,267000,279,49872,80529,20953
Don't Look Now,1973,7.2,7.2,7.3,7.2,7.3,53795,21,5689,23101,12209
The Fearless Vampire Killers,1967,7.2,7.2,7,7.1,7.2,31022,4,1915,13184,8648
Black Christmas,1974,7.2,7.7,7.3,7.2,7,38131,29,4365,16949,7045
The Dead Zone,1983,7.2,7.2,7.1,7.1,7.4,67307,15,4993,28046,17388
The Changeling,1980,7.2,7.5,7.1,7.2,7.3,33197,2,2402,14904,8385
Gremlins,1984,7.3,7.3,7.1,7.3,7.3,212160,116,21589,96654,34359
Videodrome,1983,7.2,8.1,7.3,7.2,7.1,89067,27,10716,41803,15019
Re-Animator,1985,7.2,7.5,7.3,7.2,7.1,61420,17,6138,28224,11530
Ringu,1998,7.2,7.1,7.1,7.3,7.3,67639,17,7517,33750,10445
Cube,1997,7.2,7.3,7,7.3,7.2,223003,64,28940,113678,25660
In the Mouth of Madness,1994,7.2,6.8,7.2,7.2,7,66411,10,5854,33005,11608
From Dusk Till Dawn,1996,7.2,7.2,7.1,7.3,7.2,301651,53,31788,144408,43654
Audition,1999,7.2,7.5,7.3,7.1,7.2,78113,18,9288,39416,11288
The Descent,2005,7.2,7.1,7.1,7.2,7.2,214563,77,27539,107861,27347
An American Crime,2007,7.3,8.1,7.4,7.3,7.2,34048,7,4274,18289,4985
It,2017,7.3,7.4,7.4,7.3,7.1,501917,636,100140,156152,36054
A Tale of Two Sisters,2003,7.2,6.7,7.2,7.2,7.1,60261,12,8123,31818,7017
Split,2016,7.3,7.6,7.4,7.3,7.1,462515,285,92323,156852,34695
The Conjuring 2,2016,7.3,7.5,7.4,7.2,7.1,253778,262,53546,82170,16552
A Quiet Place Part II,2020,7.3,7.7,7.4,7.2,7.1,179755,288,28391,53696,14990
Doctor Sleep,2019,7.3,7.4,7.4,7.3,7.2,173650,146,26310,60747,19613
The Rocky Horror Picture Show,1975,7.4,7.6,7.6,7.3,7.3,144194,58,20033,57548,25934
Suspiria,1977,7.4,7.9,7.6,7.4,7.1,88594,61,13177,37550,13462
Carrie,1976,7.4,7.7,7.4,7.3,7.5,178822,110,22844,76766,31762
Eraserhead,1977,7.4,8,7.7,7.3,7,110958,76,17729,46493,15023
Hereditary,2018,7.3,7.5,7.6,7.2,6.8,277962,241,53423,90040,23076
House,1977,7.4,8.1,7.6,7.3,6.8,25267,26,4918,10255,2893
Dracula,1992,7.4,7.1,7.2,7.5,7.5,207439,48,19042,96823,36703
Possession,1981,7.4,8.4,7.9,7.3,6.8,29355,11,4780,12539,4491
Invasion of the Body Snatchers,1978,7.4,8,7.5,7.4,7.4,57633,11,4500,22964,16065
The Devil's Backbone,2001,7.4,7.5,7.5,7.4,7.5,64335,12,6587,33623,11054
Thesis,1996,7.4,7.6,7.6,7.4,7.3,37777,8,3456,19492,6462
Pi,1998,7.4,7.2,7.4,7.4,7.1,175201,32,19943,93994,22445
REC,2007,7.4,7.4,7.4,7.5,7.3,173764,62,28069,91300,16904
The Texas Chain Saw Massacre,1974,7.5,7.7,7.5,7.4,7.3,149703,143,21149,64140,20801
The Haunting,1963,7.5,6.9,7.4,7.4,7.6,38355,10,3068,15441,11151
The Omen,1976,7.5,7.9,7.4,7.5,7.7,114365,59,12116,49941,23666
Dracula,1931,7.5,7.3,7.4,7.4,7.6,50452,41,6144,19921,11297
The Wicker Man,1973,7.5,7.7,7.6,7.5,7.5,77509,26,9025,32938,16110
The Orphanage,2007,7.4,7.3,7.4,7.5,7.4,152357,37,21165,83912,17694
The Wailing,2016,7.5,7.5,7.7,7.4,7,61968,32,11080,24359,5625
Nosferatu the Vampyre,1979,7.5,8.1,7.6,7.5,7.4,34879,12,3800,15263,7562
Tucker and Dale vs Evil,2010,7.5,7.4,7.5,7.5,7.5,173376,34,28577,90035,18534
An American Werewolf in London,1981,7.5,7.5,7.5,7.4,7.7,101440,44,10020,39558,24272
Jacob's Ladder,1990,7.5,7.1,7.5,7.5,7.4,104435,19,11519,48633,19702
Dead Alive,1992,7.5,7.3,7.5,7.5,7.4,94959,12,8885,51135,13638
The Evil Dead,1981,7.5,7.7,7.4,7.4,7.5,198796,116,25908,91572,27184
A Nightmare on Elm Street,1984,7.5,7.8,7.4,7.5,7.4,224808,179,31499,97390,30853
Interview with the Vampire: The Vampire Chronicles,1994,7.5,7.6,7.5,7.6,7.3,308055,53,32656,158451,42276
Army of Darkness,1992,7.5,7.4,7.4,7.5,7.4,170747,55,15727,82918,26919
Grindhouse,2007,7.5,7.7,7.6,7.6,7.2,182174,21,13799,111261,23959
Peeping Tom,1960,7.7,7.5,7.9,7.7,7.5,33917,19,3999,14851,7322
Eyes Without a Face,1960,7.7,8.1,7.8,7.6,7.6,30260,27,4560,12925,5320
Invasion of the Body Snatchers,1956,7.7,7.8,7.7,7.6,7.9,47927,15,4124,18256,13918
The Birds,1963,7.7,7.9,7.5,7.6,7.9,181757,91,22725,75668,34119
Evil Dead II,1987,7.7,8.3,7.8,7.7,7.6,156780,84,18021,73753,22850
Halloween,1978,7.7,7.9,7.6,7.7,7.9,260324,234,36123,104964,37193
Repulsion,1965,7.7,7.4,7.8,7.7,7.6,51791,15,6577,23213,9849
Vampire Hunter D: Bloodlust,2000,7.7,6.8,7.7,7.7,7.3,30898,6,2655,18269,3208
What We Do in the Shadows,2014,7.7,8.3,7.8,7.6,7.5,172445,72,32515,70527,16547
Frankenstein,1931,7.8,7.4,7.7,7.7,8,69830,54,8175,27398,16705
The Bride of Frankenstein,1935,7.8,7.7,7.8,7.7,7.9,46687,34,4635,17826,12570
Get Out,2017,7.7,8.1,7.9,7.6,7.4,541326,378,107352,177235,42713
The Innocents,1961,7.8,6.8,8,7.8,7.8,29285,6,2938,12412,7493
Predator,1987,7.8,7.7,7.6,7.9,7.8,391634,122,39755,190038,57069
I Saw the Devil,2010,7.8,7.9,8,7.8,7.6,122230,55,20062,58921,11457
Freaks,1932,7.9,7.3,7.9,7.9,7.9,44828,13,4872,19533,9910
Nosferatu,1922,7.9,7.9,7.8,7.9,8.1,93432,47,12377,41521,16782
Night of the Living Dead,1968,7.9,7.8,7.8,7.9,7.9,123901,77,13391,55894,22211
King Kong,1933,7.9,7.7,7.8,7.8,8.1,83211,36,7392,33912,21377
